OCC_TITLE,A_MEAN
Data Scientists,"133,320"
Data Scientists,"110,190"
Data Scientists,"100,780"
Data Scientists,"106,400"
Data Scientists,"103,470"
Data Scientists,"95,520"
Data Scientists,"109,870"
Data Scientists,"78,890"
Data Scientists,"94,190"
Data Scientists,"94,920"
Data Scientists,"86,470"
Data Scientists,"71,710"
Data Scientists,"101,080"
Data Scientists,"118,960"
Data Scientists,"120,340"
Data Scientists,"92,820"
Data Scientists,"111,740"
Data Scientists,"65,940"
Data Scientists,"81,860"
Data Scientists,"74,720"
Data Scientists,"89,340"
Data Scientists,"96,870"
Data Scientists,"87,300"
Data Scientists,"129,980"
Data Scientists,"87,090"
Data Scientists,"128,200"
Data Scientists,"119,960"
Data Scientists,"93,340"
Data Scientists,"92,080"
Data Scientists,"87,810"
Data Scientists,"111,090"
Data Scientists,"95,940"
Data Scientists,"117,570"
Data Scientists,"100,550"
Data Scientists,"108,430"
Data Scientists,"112,070"
Data Scientists,"102,230"
Data Scientists,"88,660"
Data Scientists,*
Data Scientists,"133,990"
Data Scientists,"140,780"
Data Scientists,"72,550"
Data Scientists,"90,760"
Data Scientists,"128,860"
Mathematical Science Occupations,"49,470"
Mathematical Science Occupations,"73,020"
Mathematical Science Occupations,"103,300"
Mathematical Science Occupations,*
Mathematical Science Occupations,"79,610"
Mathematical Science Occupations,"79,540"
Mathematical Science Occupations,"50,380"
Mathematical Science Occupations,"81,010"
Mathematical Science Occupations,"81,320"
Mathematical Science Occupations,"68,300"
Mathematical Science Occupations,"87,960"
Mathematical Science Occupations,"115,400"
Mathematical Science Occupations,"76,880"
Mathematical Science Occupations,"65,290"
Mathematical Science Occupations,"46,850"
Mathematical Science Occupations,"122,500"
Mathematical Science Occupations,"69,410"
Biological Scientists,"73,910"
Biological Scientists,"88,930"
Biological Scientists,"85,600"
Biological Scientists,"79,350"
Biological Scientists,"113,250"
Biological Scientists,"99,370"
Biological Scientists,"108,500"
Biological Scientists,"114,940"
Biological Scientists,"62,270"
Biological Scientists,"77,300"
Biological Scientists,"85,550"
Biological Scientists,"74,920"
Biological Scientists,"83,660"
Biological Scientists,"72,310"
Biological Scientists,"73,990"
Biological Scientists,"73,620"
Biological Scientists,"72,260"
Biological Scientists,"71,350"
Biological Scientists,"114,530"
Biological Scientists,"108,420"
Biological Scientists,"85,960"
Biological Scientists,"83,710"
Biological Scientists,"78,630"
Biological Scientists,"67,100"
Biological Scientists,"72,540"
Biological Scientists,"84,670"
Biological Scientists,"71,280"
Biological Scientists,"78,830"
Biological Scientists,"91,000"
Biological Scientists,"79,230"
Biological Scientists,"114,130"
Biological Scientists,"92,740"
Biological Scientists,"81,500"
Biological Scientists,"85,620"
Biological Scientists,"66,710"
Biological Scientists,"82,780"
Biological Scientists,"87,940"
Biological Scientists,"92,510"
Biological Scientists,"83,860"
Biological Scientists,"67,960"
Biological Scientists,"80,360"
Biological Scientists,"83,000"
Biological Scientists,"87,660"
Biological Scientists,"66,740"
Biological Scientists,"95,240"
Biological Scientists,"91,980"
Biological Scientists,"75,570"
Biological Scientists,"84,360"
Biological Scientists,"75,320"
Financial Specialists,"47,330"
Operations Research Analysts,"40,350"
Operations Research Analysts,"72,620"
Statisticians,"42,020"
Data Scientists,"64,910"
Biological Scientists,"65,020"
Financial Specialists,"64,310"
Financial Specialists,"79,750"
Financial Specialists,"73,170"
Financial Specialists,"90,370"
Financial Specialists,"84,990"
Financial Specialists,"64,880"
Financial Specialists,"95,910"
Financial Specialists,"72,800"
Financial Specialists,"83,830"
Financial Specialists,"74,560"
Financial Specialists,"64,010"
Financial Specialists,"69,400"
Financial Specialists,"68,400"
Financial Specialists,"84,390"
Financial Specialists,"71,260"
Financial Specialists,"61,070"
Financial Specialists,"69,460"
Financial Specialists,"89,180"
Financial Specialists,"89,730"
Financial Specialists,"66,240"
Financial Specialists,"85,310"
Financial Specialists,"78,020"
Financial Specialists,"73,990"
Financial Specialists,"67,460"
Financial Specialists,"69,820"
Financial Specialists,"84,050"
Financial Specialists,"81,970"
Financial Specialists,"65,370"
Financial Specialists,"88,330"
Financial Specialists,"98,970"
Financial Specialists,"87,470"
Financial Specialists,"69,570"
Financial Specialists,"59,330"
Financial Specialists,"77,530"
Financial Specialists,"113,790"
Financial Specialists,"73,410"
Financial Specialists,"53,150"
Financial Specialists,"64,720"
Financial Specialists,"69,670"
Financial Specialists,"92,500"
Financial Specialists,"70,240"
Financial Specialists,"62,200"
Financial Specialists,"83,580"
Financial Specialists,"93,030"
Financial Specialists,"68,370"
Financial Specialists,"75,290"
Financial Specialists,"99,510"
Financial Specialists,"55,380"
Financial Specialists,"78,820"
Financial Specialists,"81,320"
Financial Specialists,"83,740"
Financial Specialists,"129,080"
Financial Specialists,"49,600"
Financial Specialists,"90,520"
Financial Specialists,"74,090"
Financial Specialists,"60,010"
Financial Specialists,"42,940"
Financial Specialists,"87,980"
Financial Specialists,"63,430"
Financial Specialists,"82,630"
Financial Specialists,"68,940"
Financial Specialists,"77,530"
Financial Specialists,"99,360"
Financial Specialists,"56,870"
Financial Specialists,"98,690"
Financial Specialists,"83,730"
Financial Specialists,"90,940"
Financial Specialists,"65,660"
Financial Specialists,"80,870"
Financial Specialists,"75,080"
Financial Specialists,"62,660"
Financial Specialists,"70,840"
Financial Specialists,"85,490"
Financial Specialists,"58,500"
Financial Specialists,"65,980"
Financial Specialists,"83,730"
Financial Specialists,"63,820"
Financial Specialists,"93,550"
Financial Specialists,"73,430"
Financial Specialists,"59,310"
Financial Specialists,"62,760"
Financial Specialists,"82,310"
Financial Specialists,"94,270"
Financial Specialists,"57,660"
Financial Specialists,"64,880"
Financial Specialists,"58,110"
Financial Specialists,"65,880"
Financial Specialists,"71,820"
Financial Specialists,"79,390"
Financial Specialists,"50,540"
Financial Specialists,"79,300"
Financial Specialists,"60,000"
Financial Specialists,"69,280"
Financial Specialists,"70,120"
Financial Specialists,"108,610"
Financial Specialists,"115,010"
Financial Specialists,"81,550"
Financial Specialists,"71,440"
Financial Specialists,"62,770"
Financial Specialists,"65,780"
Financial Specialists,"52,100"
Financial Specialists,"50,970"
Financial Specialists,"63,930"
Financial Specialists,"72,860"
Financial Specialists,"76,210"
Financial Specialists,"71,510"
Financial Specialists,"75,340"
Financial Specialists,"71,330"
Financial Specialists,"63,750"
Financial Specialists,"56,480"
Financial Specialists,"57,780"
Financial Specialists,"71,020"
Financial Specialists,"76,290"
Financial Specialists,"63,360"
Financial Specialists,"77,830"
Financial Specialists,"53,820"
Financial Specialists,"71,160"
Financial Specialists,"73,680"
Financial Specialists,"72,380"
Financial Specialists,"72,930"
Financial Specialists,"66,570"
Financial Specialists,"52,230"
Financial Specialists,"93,030"
Financial Specialists,"70,630"
Financial Specialists,"70,360"
Financial Specialists,"58,440"
Financial Specialists,"60,440"
Financial Specialists,"55,790"
Financial Specialists,"85,640"
Financial Specialists,"71,050"
Financial Specialists,*
Financial Specialists,"63,060"
Financial Specialists,"83,730"
Financial Specialists,"55,470"
Financial Specialists,"85,100"
Financial Specialists,"69,350"
Financial Specialists,"52,020"
Financial Specialists,"85,370"
Financial Specialists,"73,130"
Financial Specialists,"76,940"
Financial Specialists,"79,550"
Financial Specialists,"73,380"
Financial Specialists,"73,710"
Financial Specialists,"115,360"
Financial Specialists,"66,250"
Financial Specialists,"63,720"
Financial Specialists,"80,570"
Financial Specialists,"82,040"
Financial Specialists,"85,710"
Financial Specialists,"72,830"
Financial Specialists,"65,020"
Financial Specialists,"83,470"
Financial Specialists,"77,540"
Financial Specialists,"71,430"
Financial Specialists,"82,780"
Financial Specialists,"72,030"
Financial Specialists,"82,760"
Financial Specialists,"85,310"
Financial Specialists,"80,090"
Financial Specialists,"69,580"
Financial Specialists,"92,080"
Financial Specialists,"59,140"
Financial Specialists,"61,510"
Financial Specialists,"74,760"
Financial Specialists,"70,300"
Financial Specialists,"74,830"
Financial Specialists,"73,340"
Financial Specialists,"106,250"
Financial Specialists,"83,810"
Financial Specialists,"71,790"
Financial Specialists,"66,150"
Financial Specialists,"64,400"
Financial Specialists,"71,200"
Financial Specialists,"66,600"
Financial Specialists,"84,890"
Financial Specialists,"79,690"
Financial Specialists,"82,630"
Financial Specialists,"56,650"
Financial Specialists,"81,050"
Financial Specialists,"86,530"
Financial Specialists,"87,800"
Financial Specialists,"66,420"
Financial Specialists,"54,980"
Financial Specialists,"66,890"
Financial Specialists,"83,960"
Financial Specialists,"102,210"
Financial Specialists,"119,900"
Financial Specialists,"49,540"
Financial Specialists,"72,460"
Financial Specialists,"72,320"
Financial Specialists,"53,950"
Financial Specialists,"67,870"
Financial Specialists,"75,540"
Financial Specialists,"68,600"
Financial Specialists,"71,740"
Financial Specialists,"88,030"
Financial Specialists,"66,720"
Financial Specialists,"66,670"
Financial Specialists,"71,060"
Financial Specialists,"86,870"
Financial Specialists,"57,920"
Financial Specialists,"80,740"
Financial Specialists,"70,470"
Financial Specialists,"54,800"
Financial Specialists,"62,830"
Financial Specialists,"63,580"
Financial Specialists,"68,090"
Financial Specialists,"66,110"
Financial Specialists,"88,650"
Financial Specialists,"66,040"
Financial Specialists,"61,570"
Financial Specialists,"76,030"
Financial Specialists,"77,240"
Financial Specialists,"72,610"
Financial Specialists,"76,920"
Financial Specialists,"82,180"
Financial Specialists,"81,220"
Financial Specialists,"64,940"
Financial Specialists,"69,000"
Financial Specialists,"87,190"
Financial Specialists,"111,770"
Financial Specialists,"69,110"
Financial Specialists,"59,520"
Financial Specialists,"54,980"
Financial Specialists,"63,610"
Financial Specialists,"57,900"
Financial Specialists,"86,230"
Financial Specialists,"65,880"
Financial Specialists,"74,350"
Financial Specialists,"92,400"
Financial Specialists,"73,510"
Financial Specialists,"64,720"
Financial Specialists,"103,640"
Financial Specialists,"143,730"
Financial Specialists,"80,790"
Financial Specialists,"113,420"
Financial Specialists,"92,190"
Financial Specialists,"95,880"
Financial Specialists,"100,290"
Financial Specialists,"95,220"
Financial Specialists,"68,130"
Financial Specialists,"83,300"
Financial Specialists,"87,060"
Financial Specialists,"73,930"
Financial Specialists,"67,730"
Operations Research Analysts,"91,410"
Operations Research Analysts,"86,270"
Operations Research Analysts,"97,060"
Operations Research Analysts,"75,810"
Operations Research Analysts,"74,770"
Operations Research Analysts,"85,820"
Operations Research Analysts,"98,910"
Operations Research Analysts,"76,420"
Operations Research Analysts,"71,470"
Operations Research Analysts,"84,030"
Operations Research Analysts,"109,900"
Operations Research Analysts,"78,040"
Operations Research Analysts,"90,520"
Operations Research Analysts,"97,870"
Operations Research Analysts,"95,040"
Operations Research Analysts,"63,280"
Operations Research Analysts,"87,510"
Operations Research Analysts,"86,580"
Operations Research Analysts,"88,400"
Operations Research Analysts,"72,060"
Operations Research Analysts,"94,500"
Operations Research Analysts,"81,210"
Operations Research Analysts,"121,690"
Operations Research Analysts,"78,360"
Operations Research Analysts,"68,990"
Operations Research Analysts,"70,290"
Operations Research Analysts,"93,450"
Operations Research Analysts,"55,380"
Operations Research Analysts,"101,370"
Operations Research Analysts,"97,980"
Operations Research Analysts,"98,930"
Operations Research Analysts,"71,570"
Operations Research Analysts,"100,360"
Operations Research Analysts,"89,010"
Operations Research Analysts,"87,720"
Operations Research Analysts,"71,910"
Operations Research Analysts,"107,130"
Operations Research Analysts,"68,310"
Operations Research Analysts,"75,630"
Operations Research Analysts,"85,930"
Operations Research Analysts,"98,090"
Operations Research Analysts,*
Operations Research Analysts,"101,100"
Operations Research Analysts,"116,790"
Operations Research Analysts,"95,200"
Operations Research Analysts,"100,330"
Operations Research Analysts,"86,630"
Operations Research Analysts,"62,340"
Operations Research Analysts,"96,200"
Operations Research Analysts,"68,550"
Operations Research Analysts,"92,730"
Operations Research Analysts,"91,500"
Operations Research Analysts,"70,230"
Operations Research Analysts,"116,930"
Operations Research Analysts,"78,430"
Operations Research Analysts,"96,000"
Operations Research Analysts,"75,690"
Operations Research Analysts,"80,330"
Operations Research Analysts,"88,510"
Operations Research Analysts,"74,550"
Operations Research Analysts,"75,280"
Operations Research Analysts,"85,710"
Operations Research Analysts,"79,730"
Operations Research Analysts,"70,740"
Operations Research Analysts,"74,350"
Operations Research Analysts,"88,680"
Operations Research Analysts,"82,400"
Operations Research Analysts,"75,020"
Operations Research Analysts,*
Operations Research Analysts,"85,040"
Operations Research Analysts,"79,280"
Operations Research Analysts,"106,060"
Operations Research Analysts,"66,860"
Operations Research Analysts,"122,020"
Operations Research Analysts,"77,430"
Operations Research Analysts,"78,260"
Operations Research Analysts,"72,430"
Operations Research Analysts,"81,270"
Operations Research Analysts,"67,490"
Operations Research Analysts,"72,730"
Operations Research Analysts,"83,980"
Operations Research Analysts,"93,380"
Operations Research Analysts,"89,470"
Operations Research Analysts,"69,270"
Operations Research Analysts,"71,880"
Operations Research Analysts,"100,190"
Operations Research Analysts,"68,580"
Operations Research Analysts,"60,360"
Operations Research Analysts,"104,710"
Operations Research Analysts,"100,890"
Operations Research Analysts,"91,600"
Operations Research Analysts,"59,160"
Operations Research Analysts,"84,980"
Operations Research Analysts,"77,010"
Operations Research Analysts,"88,910"
Operations Research Analysts,"94,950"
Operations Research Analysts,"73,720"
Operations Research Analysts,"76,080"
Operations Research Analysts,"99,930"
Operations Research Analysts,"58,680"
Operations Research Analysts,"97,780"
Operations Research Analysts,"64,780"
Operations Research Analysts,"81,370"
Operations Research Analysts,"81,520"
Operations Research Analysts,"126,830"
Operations Research Analysts,"83,620"
Operations Research Analysts,"98,080"
Operations Research Analysts,"89,820"
Operations Research Analysts,"71,480"
Operations Research Analysts,"65,000"
Operations Research Analysts,"97,500"
Operations Research Analysts,"110,060"
Operations Research Analysts,"76,260"
Operations Research Analysts,"70,990"
Operations Research Analysts,"87,070"
Operations Research Analysts,"91,360"
Operations Research Analysts,"74,590"
Operations Research Analysts,"98,780"
Operations Research Analysts,"91,090"
Operations Research Analysts,"106,920"
Operations Research Analysts,"92,940"
Operations Research Analysts,"89,200"
Operations Research Analysts,"99,620"
Operations Research Analysts,"71,720"
Operations Research Analysts,"109,280"
Operations Research Analysts,"95,170"
Operations Research Analysts,"69,170"
Operations Research Analysts,"78,260"
Operations Research Analysts,"95,940"
Operations Research Analysts,"74,720"
Operations Research Analysts,"70,300"
Operations Research Analysts,"90,410"
Operations Research Analysts,"107,190"
Operations Research Analysts,"91,760"
Operations Research Analysts,"91,100"
Operations Research Analysts,"101,630"
Operations Research Analysts,"93,180"
Operations Research Analysts,"86,050"
Operations Research Analysts,"87,640"
Operations Research Analysts,"94,030"
Operations Research Analysts,"75,630"
Operations Research Analysts,"97,700"
Operations Research Analysts,"96,940"
Operations Research Analysts,"108,270"
Operations Research Analysts,"141,200"
Operations Research Analysts,"97,110"
Operations Research Analysts,"93,530"
Operations Research Analysts,"74,240"
Operations Research Analysts,"58,080"
Operations Research Analysts,"95,290"
Operations Research Analysts,"94,900"
Operations Research Analysts,"79,610"
Operations Research Analysts,"77,650"
Operations Research Analysts,"73,080"
Operations Research Analysts,"79,240"
Operations Research Analysts,"86,060"
Operations Research Analysts,"111,480"
Operations Research Analysts,"45,560"
Operations Research Analysts,"88,810"
Operations Research Analysts,"89,860"
Operations Research Analysts,"56,520"
Operations Research Analysts,"106,770"
Operations Research Analysts,"57,870"
Operations Research Analysts,"83,360"
Operations Research Analysts,"71,410"
Operations Research Analysts,"105,140"
Operations Research Analysts,"71,650"
Operations Research Analysts,"107,780"
Operations Research Analysts,"84,460"
Operations Research Analysts,"85,630"
Operations Research Analysts,"121,540"
Operations Research Analysts,"78,710"
Operations Research Analysts,"95,990"
Operations Research Analysts,"74,520"
Operations Research Analysts,"76,280"
Operations Research Analysts,"59,030"
Operations Research Analysts,"70,200"
Operations Research Analysts,"88,930"
Operations Research Analysts,"113,380"
Operations Research Analysts,"79,720"
Operations Research Analysts,"103,350"
Operations Research Analysts,"90,550"
Operations Research Analysts,"85,640"
Operations Research Analysts,"90,620"
Operations Research Analysts,"100,810"
Operations Research Analysts,"105,810"
Operations Research Analysts,"79,160"
Operations Research Analysts,"85,530"
Operations Research Analysts,"80,640"
Operations Research Analysts,"86,070"
Operations Research Analysts,"85,690"
Statisticians,"102,980"
Statisticians,"64,760"
Statisticians,"85,090"
Statisticians,"96,470"
Statisticians,"110,490"
Statisticians,"90,630"
Statisticians,"115,140"
Statisticians,"67,790"
Statisticians,"77,140"
Statisticians,"96,520"
Statisticians,"94,840"
Statisticians,"73,610"
Statisticians,"105,690"
Statisticians,"91,580"
Statisticians,"77,500"
Statisticians,"107,900"
Statisticians,"93,830"
Statisticians,"84,100"
Statisticians,"88,820"
Statisticians,"73,730"
Statisticians,"79,500"
Statisticians,"95,510"
Statisticians,"90,780"
Statisticians,"92,510"
Statisticians,"95,140"
Statisticians,"110,720"
Statisticians,"124,970"
Statisticians,"89,490"
Statisticians,"98,670"
Statisticians,"63,920"
Statisticians,"76,630"
Statisticians,"91,680"
Statisticians,"93,370"
Statisticians,"74,410"
Statisticians,"103,840"
Statisticians,"68,650"
Statisticians,"88,020"
Statisticians,"99,410"
Statisticians,"104,490"
Statisticians,"81,960"
Statisticians,"71,700"
Statisticians,"77,680"
Statisticians,"63,950"
Statisticians,"116,710"
Statisticians,"96,860"
Statisticians,"88,670"
Statisticians,"77,510"
Statisticians,"83,640"
Statisticians,"91,540"
Statisticians,"89,920"
Statisticians,"61,820"
Statisticians,"88,260"
Statisticians,"136,530"
Statisticians,"62,910"
Statisticians,"92,400"
Statisticians,"86,370"
Statisticians,"83,690"
Statisticians,"100,050"
Statisticians,"84,850"
Statisticians,"76,300"
Statisticians,"88,300"
Statisticians,"122,830"
Statisticians,"76,680"
Statisticians,"110,660"
Statisticians,"104,230"
Statisticians,"104,230"
Statisticians,"90,640"
Statisticians,"82,510"
Statisticians,"83,490"
Statisticians,"82,370"
Statisticians,"127,850"
Statisticians,"154,950"
Statisticians,"163,680"
Statisticians,"44,250"
Statisticians,"112,160"
Statisticians,"90,540"
Statisticians,"75,880"
Statisticians,"138,280"
Statisticians,"44,850"
Statisticians,"98,920"
Statisticians,"114,750"
Statisticians,"82,970"
Statisticians,"74,760"
Statisticians,"79,010"
Statisticians,"119,800"
Statisticians,"113,330"
Statisticians,"106,190"
Statisticians,"112,430"
Statisticians,"176,420"
Statisticians,"73,040"
Statisticians,"109,240"
Statisticians,"102,980"
Statisticians,"95,960"
Statisticians,"99,760"
Statisticians,"91,550"
Data Scientists,"89,080"
Data Scientists,"100,750"
Data Scientists,"87,270"
Data Scientists,"96,250"
Data Scientists,"77,840"
Data Scientists,"106,390"
Data Scientists,"104,460"
Data Scientists,"88,030"
Data Scientists,"119,900"
Data Scientists,"105,470"
Data Scientists,"110,670"
Data Scientists,"84,380"
Data Scientists,"111,600"
Data Scientists,"115,810"
Data Scientists,"119,180"
Data Scientists,"68,390"
Data Scientists,"77,250"
Data Scientists,"80,280"
Data Scientists,"103,810"
Data Scientists,"87,450"
Data Scientists,"75,230"
Data Scientists,"98,110"
Data Scientists,"141,740"
Data Scientists,"97,230"
Data Scientists,"111,170"
Data Scientists,"78,590"
Data Scientists,"99,910"
Data Scientists,"84,980"
Data Scientists,"98,790"
Data Scientists,"91,600"
Data Scientists,"128,810"
Data Scientists,"117,460"
Data Scientists,"110,390"
Data Scientists,"110,800"
Data Scientists,"99,160"
Data Scientists,"97,150"
Data Scientists,"103,730"
Data Scientists,"116,860"
Data Scientists,"75,220"
Data Scientists,"85,490"
Data Scientists,"89,130"
Data Scientists,"93,820"
Data Scientists,"82,490"
Data Scientists,"100,050"
Data Scientists,"108,090"
Data Scientists,"85,820"
Data Scientists,"77,410"
Data Scientists,"94,850"
Data Scientists,"114,940"
Data Scientists,"102,800"
Data Scientists,"95,990"
Data Scientists,"70,060"
Data Scientists,"75,390"
Data Scientists,"117,150"
Data Scientists,"91,250"
Data Scientists,"98,550"
Data Scientists,"81,300"
Data Scientists,"69,200"
Data Scientists,"82,890"
Data Scientists,"65,350"
Data Scientists,"94,130"
Data Scientists,*
Data Scientists,"78,420"
Data Scientists,"108,610"
Data Scientists,"76,920"
Data Scientists,"91,110"
Data Scientists,"73,900"
Data Scientists,"84,510"
Data Scientists,"87,890"
Data Scientists,"87,370"
Data Scientists,"95,260"
Data Scientists,"96,230"
Data Scientists,"105,890"
Data Scientists,"94,190"
Data Scientists,"67,240"
Data Scientists,"91,210"
Data Scientists,"99,400"
Data Scientists,"93,610"
Data Scientists,"101,710"
Data Scientists,"81,860"
Data Scientists,"83,670"
Data Scientists,"117,820"
Data Scientists,"85,590"
Data Scientists,"97,670"
Data Scientists,"89,490"
Data Scientists,"76,440"
Data Scientists,"86,190"
Data Scientists,"84,370"
Data Scientists,"96,510"
Data Scientists,"111,430"
Data Scientists,"100,200"
Data Scientists,"84,810"
Data Scientists,"79,560"
Data Scientists,"93,030"
Data Scientists,"84,680"
Data Scientists,"89,680"
Data Scientists,*
Data Scientists,"64,270"
Data Scientists,"92,440"
Data Scientists,"89,210"
Data Scientists,"83,680"
Data Scientists,"75,920"
Data Scientists,"120,290"
Data Scientists,"86,280"
Data Scientists,"79,670"
Data Scientists,"90,880"
Data Scientists,"83,990"
Data Scientists,"76,020"
Data Scientists,"97,250"
Data Scientists,"93,580"
Data Scientists,"108,470"
Data Scientists,"96,470"
Data Scientists,"112,880"
Data Scientists,"75,730"
Data Scientists,"97,800"
Data Scientists,"65,110"
Data Scientists,"101,560"
Data Scientists,"104,900"
Data Scientists,"113,830"
Data Scientists,"89,470"
Data Scientists,"136,040"
Data Scientists,"104,740"
Data Scientists,"86,610"
Data Scientists,"88,310"
Data Scientists,"147,280"
Data Scientists,"91,560"
Data Scientists,"91,520"
Data Scientists,"100,690"
Data Scientists,"109,880"
Data Scientists,"107,150"
Data Scientists,"80,420"
Data Scientists,"101,110"
Data Scientists,"109,460"
Data Scientists,"104,390"
Data Scientists,"86,910"
Data Scientists,"117,510"
Data Scientists,"102,010"
Data Scientists,"85,330"
Data Scientists,"118,000"
Data Scientists,"91,710"
Data Scientists,"108,130"
Data Scientists,"98,520"
Data Scientists,"126,890"
Data Scientists,"109,410"
Data Scientists,"82,770"
Data Scientists,"102,200"
Data Scientists,"95,770"
Data Scientists,"92,870"
Data Scientists,"105,450"
Data Scientists,"82,000"
Data Scientists,"87,850"
Data Scientists,"91,970"
Data Scientists,"101,530"
Data Scientists,"90,750"
Data Scientists,"103,520"
Data Scientists,"127,070"
Data Scientists,"152,080"
Data Scientists,"233,320"
Data Scientists,"60,760"
Data Scientists,"108,380"
Data Scientists,"114,540"
Data Scientists,"128,880"
Data Scientists,"121,310"
Data Scientists,"80,920"
Data Scientists,"78,940"
Data Scientists,"142,810"
Data Scientists,"89,880"
Data Scientists,"92,210"
Data Scientists,"102,400"
Data Scientists,"76,950"
Data Scientists,"91,890"
Data Scientists,"132,120"
Data Scientists,"92,160"
Data Scientists,"70,410"
Data Scientists,"116,760"
Data Scientists,"92,180"
Data Scientists,"78,350"
Data Scientists,"99,360"
Data Scientists,"72,470"
Data Scientists,"68,780"
Data Scientists,"134,670"
Data Scientists,"100,230"
Data Scientists,"93,380"
Data Scientists,"77,150"
Data Scientists,"103,260"
Data Scientists,"92,860"
Data Scientists,"119,660"
Data Scientists,"101,260"
Data Scientists,"95,180"
Data Scientists,"77,860"
Data Scientists,"91,480"
Data Scientists,"126,160"
Data Scientists,"86,900"
Data Scientists,"104,060"
Data Scientists,"112,100"
Data Scientists,"107,930"
Data Scientists,"80,340"
Data Scientists,"80,960"
Data Scientists,"90,720"
